"uniqueID_t1";"gender_t1";"age_t1";"entry_via_t1";"seriousness_t1";"condition_t1";"completion_time_min_t1";"completion_time_t1";"completion_time_sec_t1";"timestamp_start_t1";"timestamp_end_t1";"sender_t1";"sender_id_t1";"ended_on_t1";"svs_angle_t1";"SVOtyp_ring_t1";"svs_angle_slider_t1";"SVOtyp_slider_t1";"include_t1";"mean_angle";"measure_self";"dec_self_slider";"dec_self_ring";"get_from";"dec_self";"dec_other";"Betrag_t1";"Betrag";"Betrag_total";"include"
1;"female";56;"mouse";"serious";"slider_first";7,54375;452625;452,625;"2026-06-09T07:42:28.258Z";"2026-06-09T07:50:00.893Z";"root";NA;"completion";37,5068128696839;"Prosocial";41,384570012072;"Prosocial";1;39,445691440878;"ring";7;23;88;300;256;6,56;8,98;15,54;1
2;"male";50;"mouse";"serious";"ring_first";235,705428333334;14142325,7;14142,3257;"2026-06-09T07:50:31.257Z";"2026-06-09T11:46:13.582Z";"root";NA;"completion";41,6475927528969;"Prosocial";45,8014118533944;"Prosocial";1;43,7245023031456;"slider";11;3;230;225;-93;2,32;6,28;8,6;1
3;"female";27;"mouse";"serious";"slider_first";4,14898333333333;248939;248,939;"2026-06-09T07:51:15.245Z";"2026-06-09T07:55:24.204Z";"root";NA;"completion";-1,1523459115664;"Individualist";16,9619533812933;"Individualist";1;7,90480373486345;"slider";13;10;73;300;241;6,41;6,27;12,68;1
4;"female";34;"touchscreen";"serious";"slider_first";7,77144500000477;466286,700000286;466,286700000286;"2026-06-09T07:59:52.479Z";"2026-06-09T08:07:38.931Z";"root";NA;"completion";26,6548564005779;"Prosocial";33,6683151430032;"Prosocial";1;30,1615857717905;"slider";1;1;260;300;256;6,56;8,74;15,3;1
5;"male";24;"touchscreen";"serious";"ring_first";10,7772116666667;646632,699999999;646,632699999999;"2026-06-09T08:02:36.510Z";"2026-06-09T08:13:23.152Z";"root";NA;"completion";-37,5068128696839;"Competitive";8,98681224954417;"Individualist";1;-14,2600003100699;"slider";7;22;9;300;210;6,1;6,41;12,51;1
6;"female";25;"mouse";"serious";"ring_first";6,4998800000002;389992,800000012;389,992800000012;"2026-06-09T08:09:40.114Z";"2026-06-09T08:16:10.118Z";"root";NA;"completion";-9,81616337875373;"Individualist";16,9619533812933;"Individualist";1;3,57289500126978;"ring";10;17;223;273;244;6,17;7,27;13,44;1
7;"female";19;"touchscreen";"serious";"ring_first";13,1578333333333;789470;789,47;"2026-06-09T08:14:09.667Z";"2026-06-09T08:27:54.909Z";"root";NA;"completion";7,19923363836765;"Individualist";34,6023195962172;"Prosocial";1;20,9007766172924;"ring";7;1;59;200;241;5,41;5,85;11,26;1
8;"female";23;"touchscreen";"serious";"ring_first";8,76534833333095;525920,899999857;525,920899999857;"2026-06-09T08:19:16.238Z";"2026-06-09T08:28:02.160Z";"root";NA;"completion";-21,2620734010833;"Competitive";16,9619533812933;"Individualist";1;-2,150060009895;"slider";6;6;115;300;241;6,41;6,91;13,32;1
9;"female";26;"mouse";"serious";"slider_first";14,3383283333333;860299,7;860,2997;"2026-06-09T08:25:06.052Z";"2026-06-09T08:39:26.339Z";"root";NA;"completion";28,7882688668514;"Prosocial";34,9962831187928;"Prosocial";1;31,8922759928221;"slider";4;4;201;300;225;6,25;5,1;11,35;1
10;"male";60;"mouse";"serious";"ring_first";18,32535;1099521;1099,521;"2026-06-09T08:30:24.195Z";"2026-06-09T08:48:43.728Z";"root";NA;"completion";-8,98156929931156;"Individualist";28,1416012322617;"Prosocial";1;9,58001596647507;"slider";7;24;6;278;200;5,78;8,24;14,02;1
11;"female";26;"touchscreen";"serious";"slider_first";5,48832;329299,2;329,2992;"2026-06-09T08:39:04.281Z";"2026-06-09T08:44:33.583Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"ring";4;24;83;48;210;3,58;6,19;9,77;1
12;"male";48;"mouse";"serious";"ring_first";7,7549283333381;465295,700000286;465,295700000286;"2026-06-09T08:45:12.260Z";"2026-06-09T08:52:57.560Z";"root";NA;"completion";9,93509769345083;"Individualist";33,7348648425068;"Prosocial";1;21,8349812679788;"slider";8;4;248;243;274;6,17;7,69;13,86;1
13;"female";28;"mouse";"serious";"slider_first";3,33216666666667;199930;199,93;"2026-06-09T08:53:54.012Z";"2026-06-09T08:57:13.961Z";"root";NA;"completion";22,8736651906267;"Prosocial";36,3432459033854;"Prosocial";1;29,6084555470061;"ring";4;11;82;293;-41;3,52;4,77;8,29;1
14;"female";20;"touchscreen";"serious";"slider_first";7,97151666666667;478291;478,291;"2026-06-09T08:54:54.045Z";"2026-06-09T09:02:52.331Z";"root";NA;"completion";18,632292862906;"Individualist";23,7620240590652;"Prosocial";1;21,1971584609856;"ring";13;18;112;300;270;6,7;8,67;15,37;1
15;"female";33;"mouse";"serious";"slider_first";7,04664333333174;422798,599999905;422,798599999905;"2026-06-09T09:01:07.402Z";"2026-06-09T09:08:10.204Z";"root";NA;"completion";27,1174727041902;"Prosocial";27,1490736366169;"Prosocial";1;27,1332731704035;"slider";15;10;144;300;-100;3;6,27;9,27;1
16;"female";20;"mouse";"serious";"ring_first";8,07992166666686;484795,300000012;484,795300000012;"2026-06-09T09:13:41.547Z";"2026-06-09T09:21:46.331Z";"root";NA;"completion";7,47155917659238;"Individualist";34,1783306016118;"Prosocial";1;20,8249448891021;"ring";2;23;58;100;225;4,25;5,16;9,41;1
17;"female";25;"mouse";"serious";"slider_first";8,54513999999762;512708,399999857;512,708399999857;"2026-06-09T09:18:13.670Z";"2026-06-09T09:26:46.388Z";"root";NA;"completion";0;"Individualist";20,5469226563159;"Individualist";1;10,2734613281579;"slider";11;24;96;256;244;6;8,07;14,07;1
19;"female";36;"mouse";"serious";"ring_first";7,40986999999682;444592,199999809;444,592199999809;"2026-06-09T09:34:53.117Z";"2026-06-09T09:42:17.710Z";"root";NA;"completion";-64,3497737413499;"Competitive";42,4147517685549;"Prosocial";1;-10,9675109863975;"ring";12;22;200;48;100;2,48;6,19;8,67;1
20;"female";22;"mouse";"serious";"slider_first";6,1815;370890;370,89;"2026-06-09T09:38:00.041Z";"2026-06-09T09:44:10.937Z";"root";NA;"completion";2,48126480119584;"Individualist";41,0847918558947;"Prosocial";1;21,7830283285453;"ring";6;21;34;0;273;3,73;7,05;10,78;1
21;"female";28;"mouse";"serious";"slider_first";6,22415666666677;373449,400000006;373,449400000006;"2026-06-09T09:48:36.738Z";"2026-06-09T09:54:50.190Z";"root";NA;"completion";27,9736799124164;"Prosocial";42,4283379632255;"Prosocial";1;35,201008937821;"slider";9;6;231;256;225;5,81;5,45;11,26;1
22;"male";37;"mouse";"serious";"slider_first";6,10821333333304;366492,799999982;366,492799999982;"2026-06-09T10:03:05.074Z";"2026-06-09T10:09:11.567Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"ring";7;18;99;293;256;6,49;7,89;14,38;1
23;"female";22;"keyboard";"serious";"slider_first";10,8372816666666;650236,899999999;650,236899999999;"2026-06-09T10:53:44.076Z";"2026-06-09T11:04:34.294Z";"root";NA;"completion";38,5144492944584;"Prosocial";42,1959926781347;"Prosocial";1;40,3552209862966;NA;NA;NA;NA;NA;NA;1;NA;1;NA
24;"female";26;"mouse";"serious";"ring_first";6,56354333333336;393812,600000001;393,812600000002;"2026-06-09T11:20:18.539Z";"2026-06-09T11:26:52.354Z";"root";NA;"completion";71,2001148413473;"Altruist";44,1745776390859;"Prosocial";1;57,6873462402166;"slider";5;7;192;262;255;6,17;7,34;13,51;1
25;"female";23;"mouse";"serious";"ring_first";16,7848;1007088;1007,088;"2026-06-09T11:47:37.930Z";"2026-06-09T12:04:25.019Z";"root";NA;"completion";45;"Prosocial";40,8806477678943;"Prosocial";1;42,9403238839472;NA;NA;NA;NA;NA;NA;1;NA;1;NA
26;"female";30;"mouse";"serious";"slider_first";72,9387333333333;4376324;4376,324;"2026-06-09T12:00:20.274Z";"2026-06-09T13:13:16.600Z";"root";NA;"completion";7,53733805729811;"Individualist";23,8704867629436;"Prosocial";1;15,7039124101209;"slider";13;13;8;300;210;6,1;8,92;15,02;1
