"uniqueID";"completion_time_min";"completion_time";"completion_time_sec";"timestamp_start";"timestamp_end";"sender";"sender_id";"ended_on";"strategy";"comment_general";"include";"uniqueID_t1";"gender_t1";"age_t1";"entry_via_t1";"seriousness_t1";"condition_t1";"completion_time_min_t1";"completion_time_t1";"completion_time_sec_t1";"timestamp_start_t1";"timestamp_end_t1";"sender_t1";"sender_id_t1";"ended_on_t1";"svs_angle_t1";"SVOtyp_ring_t1";"svs_angle_slider_t1";"SVOtyp_slider_t1";"include_t1";"mean_angle";"measure_self";"dec_self_slider";"dec_self_ring";"get_from";"dec_self";"dec_other";"Betrag_t1";"Betrag";"Betrag_total"
1;6,8309100000004;409854,600000024;409,854600000024;"2026-06-16T13:29:37.930Z";"2026-06-16T13:36:27.828Z";"root";NA;"completion";"Mir, je nach höhe der Ausgangssumme die Wahrscheinlichkeit überlegt, dass die anderen Zahlen höher sind und mir dann eine Zahl aufdecken lassen. Dann habe ich anschließend geschaut ob ich es für wahrscheinlich halte, dass ich dadurch mehr bekommen könnte. Dabei habe ich die Zahl des anderen ignoriert, da es mir nur um meine Auszahlung ging. ";" ";1;3;"female";27;"mouse";"serious";"slider_first";4,14898333333333;248939;248,939;"2026-06-09T07:51:15.245Z";"2026-06-09T07:55:24.204Z";"root";NA;"completion";-1,1523459115664;"Individualist";16,9619533812933;"Individualist";1;7,90480373486345;"slider";13;10;73;300;241;6,41;6,27;12,68
2;5,70792833333332;342475,699999999;342,475699999999;"2026-06-16T13:32:09.862Z";"2026-06-16T13:37:52.341Z";"root";NA;"completion";" ";" ";1;55;"female";23;"touchscreen";"serious";"ring_first";10,6307533333333;637845,199999999;637,845199999999;"2026-06-09T15:46:16.233Z";"2026-06-09T15:56:54.082Z";"root";NA;"completion";15,0791339749611;"Individualist";40,5273536393783;"Prosocial";1;27,8032438071697;"slider";10;20;17;300;256;6,56;6,1;12,66
3;3,49966166666647;209979,699999988;209,979699999988;"2026-06-16T13:33:20.454Z";"2026-06-16T13:36:50.434Z";"root";NA;"completion";" ";" ";1;78;"female";27;"touchscreen";"serious";"slider_first";2,45851333333651;147510,800000191;147,510800000191;"2026-06-09T17:48:29.036Z";"2026-06-09T17:50:56.547Z";"root";NA;"completion";-7,53733805729811;"Individualist";19,4170659861462;"Individualist";1;5,93986396442404;"ring";9;24;145;200;293;5,93;8,57;14,5
4;4,70849833332698;282509,899999619;282,509899999619;"2026-06-16T13:34:27.990Z";"2026-06-16T13:39:10.501Z";"root";NA;"completion";" Ich wollte keine Gebühren zahlen und habe meistens schon vor dem Aufdecken entschieden.";" ";1;65;"female";32;"mouse";"serious";"slider_first";6,67932166666587;400759,299999952;400,759299999952;"2026-06-09T16:05:01.088Z";"2026-06-09T16:11:41.849Z";"root";NA;"completion";30,0212253575505;"Prosocial";40,7281890013095;"Prosocial";1;35,37470717943;"ring";2;16;21;0;256;3,56;5,6;9,16
5;4,57272666666508;274363,599999905;274,363599999905;"2026-06-16T13:33:30.863Z";"2026-06-16T13:38:05.470Z";"root";NA;"completion";" ";" ";1;4;"female";34;"touchscreen";"serious";"slider_first";7,77144500000477;466286,700000286;466,286700000286;"2026-06-09T07:59:52.479Z";"2026-06-09T08:07:38.931Z";"root";NA;"completion";26,6548564005779;"Prosocial";33,6683151430032;"Prosocial";1;30,1615857717905;"slider";1;1;260;300;256;6,56;8,74;15,3
6;5,66693333333333;340016;340,016;"2026-06-16T13:34:09.036Z";"2026-06-16T13:39:49.055Z";"root";NA;"completion";" auf die eigene reihe gachtet";" ";1;96;"female";26;"mouse";"serious";"ring_first";7,52555333333413;451533,200000048;451,533200000048;"2026-06-09T19:57:18.175Z";"2026-06-09T20:04:49.710Z";"root";NA;"completion";5,09368285316337;"Individualist";24,1220717650178;"Prosocial";1;14,6078773090906;"slider";1;23;199;289;152;5,41;6,29;11,7
7;6,40275333333332;384165,199999999;384,165199999999;"2026-06-16T13:35:00.236Z";"2026-06-16T13:41:24.410Z";"root";NA;"completion";" Ich bin nur von meinem eigenen Betrag ausgegangen. Wenn ich nach einer Anzeige schon den Eindruck hatte, mit der Option eine ausreichend gute Wahl zu treffen, habe ich sie genommen, ohne weitere Felder aufzudecken.";" ";1;101;"female";32;"touchscreen";"serious";"slider_first";6,08996333333331;365397,799999999;365,397799999999;"2026-06-09T20:07:01.100Z";"2026-06-09T20:13:06.545Z";"root";NA;"completion";15,0791339749611;"Individualist";25,7948693936012;"Prosocial";1;20,4370016842811;"slider";4;20;271;256;152;5,08;6,27;11,35
8;59,7466199999998;3584797,19999999;3584,79719999999;"2026-06-16T13:35:55.909Z";"2026-06-16T14:35:40.707Z";"root";NA;"completion";" ";" ";1;8;"female";23;"touchscreen";"serious";"ring_first";8,76534833333095;525920,899999857;525,920899999857;"2026-06-09T08:19:16.238Z";"2026-06-09T08:28:02.160Z";"root";NA;"completion";-21,2620734010833;"Competitive";16,9619533812933;"Individualist";1;-2,150060009895;"slider";6;6;115;300;241;6,41;6,91;13,32
9;9,98748166666667;599248,9;599,2489;"2026-06-16T13:36:35.246Z";"2026-06-16T13:46:34.500Z";"root";NA;"completion";"";" ";1;27;"male";32;"mouse";"serious";"slider_first";9,53396;572037,6;572,0376;"2026-06-09T12:03:24.869Z";"2026-06-09T12:12:56.907Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;"slider";1;6;86;300;255;6,55;6,51;13,06
10;2,44315;146589;146,589;"2026-06-16T13:37:22.586Z";"2026-06-16T13:39:49.176Z";"root";NA;"completion";" jeweils eine aufgedeckt und dann entschieden je nachdem wo mehr war ";" ";0;79;"male";64;"mouse";"serious";"ring_first";2,36210666666826;141726,400000095;141,726400000095;"2026-06-09T17:51:09.190Z";"2026-06-09T17:53:30.917Z";"root";NA;"completion";0;"Individualist";16,9619533812933;"Individualist";1;8,48097669064665;NA;NA;NA;NA;NA;NA;1;1;2
