"item","self_A","other_A","self_B","other_B","measure"
1,"+3,00","+1,00","+2,93","+1,52","ring"
2,"+2,93","+1,52","+2,73","+2,00","ring"
3,"+2,73","+2,00","+2,41","+2,41","ring"
4,"+2,41","+2,41","+2,00","+2,73","ring"
5,"+2,00","+2,73","+1,52","+2,93","ring"
6,"+1,52","+2,93","+1,00","+3,00","ring"
7,"+1,00","+3,00","+0,48","+2,93","ring"
8,"+0,48","+2,93","+0,00","+2,73","ring"
9,"+0,00","+2,73","-0,41","+2,41","ring"
10,"-0,41","+2,41","-0,73","+2,00","ring"
11,"-0,73","+2,00","-0,93","+1,52","ring"
12,"-0,93","+1,52","-1,00","+1,00","ring"
13,"-1,00","+1,00","-0,93","+0,48","ring"
14,"-0,93","+0,48","-0,73","-0,00","ring"
15,"-0,73","-0,00","-0,41","-0,41","ring"
16,"-0,41","-0,41","-0,00","-0,73","ring"
17,"-0,00","-0,73","+0,48","-0,93","ring"
18,"+0,48","-0,93","+1,00","-1,00","ring"
19,"+1,00","-1,00","+1,52","-0,93","ring"
20,"+1,52","-0,93","+2,00","-0,73","ring"
21,"+2,00","-0,73","+2,41","-0,41","ring"
22,"+2,41","-0,41","+2,73","-0,00","ring"
23,"+2,73","-0,00","+2,93","+0,48","ring"
24,"+2,93","+0,48","+3,00","+1,00","ring"
