"uniqueID";"item";"self_A";"other_A";"self_B";"other_B";"choice_self";"choice_other";"optionSide";"count_trials"
1;"6";"+1,52";"+2,93";"+1,00";"+3,00";152;293;"A_left";0
1;"3";"+2,73";"+2,00";"+2,41";"+2,41";241;241;"B_left";1
1;"23";"+2,73";"-0,00";"+2,93";"+0,48";293;48;"A_left";2
1;"7";"+1,00";"+3,00";"+0,48";"+2,93";100;300;"B_left";3
1;"1";"+3,00";"+1,00";"+2,93";"+1,52";293;152;"A_left";4
1;"13";"-1,00";"+1,00";"-0,93";"+0,48";-100;100;"A_left";5
1;"8";"+0,48";"+2,93";"+0,00";"+2,73";48;293;"A_left";6
1;"15";"-0,73";"-0,00";"-0,41";"-0,41";-41;-41;"B_left";7
1;"9";"+0,00";"+2,73";"-0,41";"+2,41";0;273;"A_left";8
1;"22";"+2,41";"-0,41";"+2,73";"-0,00";273;0;"A_left";9
1;"19";"+1,00";"-1,00";"+1,52";"-0,93";152;-93;"B_left";10
1;"4";"+2,41";"+2,41";"+2,00";"+2,73";241;241;"A_left";11
1;"16";"-0,41";"-0,41";"-0,00";"-0,73";0;-73;"B_left";12
1;"14";"-0,93";"+0,48";"-0,73";"-0,00";-93;48;"A_left";13
1;"20";"+1,52";"-0,93";"+2,00";"-0,73";200;-73;"B_left";14
1;"12";"-0,93";"+1,52";"-1,00";"+1,00";-93;152;"B_left";15
1;"18";"+0,48";"-0,93";"+1,00";"-1,00";100;-100;"A_left";16
1;"10";"-0,41";"+2,41";"-0,73";"+2,00";-41;241;"B_left";17
1;"2";"+2,93";"+1,52";"+2,73";"+2,00";273;200;"A_left";18
1;"11";"-0,73";"+2,00";"-0,93";"+1,52";-73;200;"A_left";19
1;"21";"+2,00";"-0,73";"+2,41";"-0,41";241;-41;"B_left";20
1;"17";"-0,00";"-0,73";"+0,48";"-0,93";48;-93;"B_left";21
1;"24";"+2,93";"+0,48";"+3,00";"+1,00";300;100;"B_left";22
1;"5";"+2,00";"+2,73";"+1,52";"+2,93";200;273;"B_left";23
