"self_1","self_2","self_3","self_4","self_5","self_6","self_7","self_8","self_9","item","other_1","other_2","other_3","other_4","other_5","other_6","other_7","other_8","other_9","measure"
"2,56","2,56","2,56","2,56","2,56","2,56","2,56","2,56","2,56","1","2,56","2,30","2,03","1,77","1,50","1,23","0,97","0,70","0,44","slider"
"2,56","2,62","2,67","2,73","2,78","2,84","2,89","2,95","3,00","2","0,44","0,57","0,70","0,84","0,97","1,10","1,23","1,37","1,50","slider"
"1,50","1,63","1,77","1,90","2,03","2,16","2,30","2,43","2,56","3","3,00","2,95","2,89","2,84","2,78","2,73","2,67","2,62","2,56","slider"
"1,50","1,63","1,77","1,90","2,03","2,16","2,30","2,43","2,56","4","3,00","2,68","2,36","2,04","1,72","1,40","1,08","0,76","0,44","slider"
"3,00","2,81","2,62","2,44","2,25","2,06","1,88","1,69","1,50","5","1,50","1,69","1,88","2,06","2,25","2,44","2,62","2,81","3,00","slider"
"3,00","2,95","2,89","2,84","2,78","2,73","2,67","2,62","2,56","6","1,50","1,63","1,77","1,90","2,03","2,16","2,30","2,43","2,56","slider"
"3,00","2,89","2,78","2,66","2,55","2,44","2,33","2,21","2,10","7","1,50","1,69","1,88","2,06","2,25","2,44","2,62","2,81","3,00","slider"
"2,70","2,74","2,78","2,81","2,85","2,89","2,92","2,96","3,00","8","3,00","2,96","2,92","2,89","2,85","2,81","2,78","2,74","2,70","slider"
"3,00","2,81","2,62","2,44","2,25","2,06","1,88","1,69","1,50","9","2,10","2,21","2,33","2,44","2,55","2,66","2,78","2,89","3,00","slider"
"3,00","2,96","2,92","2,89","2,85","2,81","2,78","2,74","2,70","10","2,10","2,21","2,33","2,44","2,55","2,66","2,78","2,89","3,00","slider"
"2,10","2,21","2,33","2,44","2,55","2,66","2,78","2,89","3,00","11","3,00","2,89","2,78","2,66","2,55","2,44","2,33","2,21","2,10","slider"
"1,50","1,69","1,88","2,06","2,25","2,44","2,62","2,81","3,00","12","3,00","2,96","2,92","2,89","2,85","2,81","2,78","2,74","2,70","slider"
"1,50","1,69","1,88","2,06","2,25","2,44","2,62","2,81","3,00","13","3,00","2,81","2,62","2,44","2,25","2,06","1,88","1,69","1,50","slider"
"3,00","2,89","2,78","2,66","2,55","2,44","2,33","2,21","2,10","14","2,70","2,74","2,78","2,81","2,85","2,89","2,92","2,96","3,00","slider"
"2,70","2,74","2,78","2,81","2,85","2,89","2,92","2,96","3,00","15","3,00","2,81","2,62","2,44","2,25","2,06","1,88","1,69","1,50","slider"
