"uniqueID";"response";"item";"choice_self";"choice_other";"svo_trial"
1;"o1";"15";270;300;0
1;"o5";"13";225;225;1
1;"o1";"1";256;256;2
1;"o1";"14";300;270;3
1;"o9";"12";300;270;4
1;"o9";"6";256;256;5
1;"o9";"8";300;270;6
1;"o5";"11";255;255;7
1;"o4";"4";190;204;8
1;"o6";"7";244;244;9
1;"o9";"3";256;256;10
1;"o7";"10";278;278;11
1;"o4";"9";244;244;12
1;"o9";"2";300;150;13
1;"o5";"5";225;225;14
2;"o3";"11";233;278;0
2;"o9";"10";270;300;1
2;"o9";"6";256;256;2
2;"o1";"14";300;270;3
2;"o1";"15";270;300;4
2;"o9";"7";210;300;5
2;"o1";"9";300;210;6
2;"o1";"4";150;300;7
2;"o9";"2";300;150;8
2;"o9";"12";300;270;9
2;"o5";"5";225;225;10
2;"o1";"1";256;256;11
2;"o5";"8";285;285;12
2;"o5";"13";225;225;13
2;"o9";"3";256;256;14
3;"o9";"8";300;270;0
3;"o1";"5";300;150;1
3;"o1";"14";300;270;2
3;"o1";"1";256;256;3
3;"o9";"3";256;256;4
3;"o9";"13";300;150;5
3;"o9";"15";300;150;6
3;"o1";"7";300;150;7
3;"o1";"9";300;210;8
3;"o9";"12";300;270;9
3;"o1";"6";300;150;10
3;"o1";"10";300;210;11
3;"o9";"11";300;210;12
3;"o9";"2";300;150;13
3;"o9";"4";256;44;14
4;"o9";"2";300;150;0
4;"o5";"5";225;225;1
4;"o9";"8";300;270;2
4;"o9";"12";300;270;3
4;"o1";"1";256;256;4
4;"o2";"7";289;169;5
4;"o6";"10";281;266;6
4;"o6";"4";216;140;7
4;"o6";"13";244;206;8
4;"o1";"15";270;300;9
4;"o9";"11";300;210;10
4;"o9";"6";256;256;11
4;"o9";"3";256;256;12
4;"o2";"9";281;221;13
4;"o1";"14";300;270;14
5;"o9";"1";256;44;0
5;"o1";"14";300;270;1
5;"o9";"4";256;44;2
5;"o9";"12";300;270;3
5;"o9";"13";300;150;4
5;"o1";"10";300;210;5
5;"o9";"11";300;210;6
5;"o9";"15";300;150;7
5;"o1";"5";300;150;8
5;"o1";"7";300;150;9
5;"o9";"8";300;270;10
5;"o9";"3";256;256;11
5;"o1";"2";256;44;12
5;"o1";"6";300;150;13
5;"o1";"9";300;210;14
6;"o1";"1";256;256;0
6;"o1";"5";300;150;1
6;"o9";"13";300;150;2
6;"o1";"14";300;270;3
6;"o9";"12";300;270;4
6;"o9";"15";300;150;5
6;"o9";"2";300;150;6
6;"o9";"11";300;210;7
6;"o1";"7";300;150;8
6;"o1";"6";300;150;9
6;"o1";"9";300;210;10
6;"o9";"3";256;256;11
6;"o9";"8";300;270;12
6;"o9";"4";256;44;13
6;"o1";"10";300;210;14
7;"o6";"13";244;206;0
7;"o6";"15";289;206;1
7;"o1";"1";256;256;2
7;"o9";"3";256;256;3
7;"o3";"14";278;278;4
7;"o5";"7";255;225;5
7;"o4";"5";244;206;6
7;"o3";"9";262;233;7
7;"o9";"2";300;150;8
