"participant_id","study","age","gender","svo_angle_ring","svo_angle_slider","svo_angle_mean","condition_preference_rating"
"pilot_1","pilot",20,"female",45,NA,NA,NA
"pilot_2","pilot",23,"female",43.492564241225,NA,NA,NA
"pilot_3","pilot",37,"male",45,NA,NA,NA
"pilot_4","pilot",38,"female",27.0955524937518,NA,NA,NA
"pilot_5","pilot",28,"female",37.8749836510982,NA,NA,NA
"pilot_6","pilot",25,"male",37.4505782317367,NA,NA,NA
"pilot_7","pilot",28,"male",68.1985905136483,NA,NA,NA
"pilot_8","pilot",45,"female",51.842773412631,NA,NA,NA
"pilot_9","pilot",31,"female",52.6506509553594,NA,NA,NA
"pilot_10","pilot",23,"female",30.1137331509824,NA,NA,NA
"pilot_11","pilot",46,"female",64.4400348281762,NA,NA,NA
"pilot_12","pilot",36,"female",-3.23970029610215,NA,NA,NA
"pilot_13","pilot",51,"female",45,NA,NA,NA
"pilot_14","pilot",26,"female",10.0079798014413,NA,NA,NA
"pilot_15","pilot",39,"female",63.434948822922,NA,NA,NA
"pilot_16","pilot",42,"male",52.5494217682633,NA,NA,NA
"pilot_17","pilot",24,"male",-39.8055710922653,NA,NA,NA
"pilot_18","pilot",23,"male",50.0131137550358,NA,NA,NA
"pilot_19","pilot",33,"male",29.9816393688493,NA,NA,NA
"pilot_20","pilot",44,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_21","pilot",31,"female",30.2564371635292,NA,NA,NA
"pilot_22","pilot",20,"female",62.1759036157468,NA,NA,NA
"pilot_23","pilot",22,"female",7.81529354676686,NA,NA,NA
"pilot_24","pilot",34,"female",83.2901631922431,NA,NA,NA
"pilot_25","pilot",36,"female",22.5430610000579,NA,NA,NA
"pilot_26","pilot",41,"female",-23.8059435184577,NA,NA,NA
"pilot_27","pilot",54,"male",32.5740571345725,NA,NA,NA
"pilot_28","pilot",19,"female",22.6937949450923,NA,NA,NA
"pilot_29","pilot",25,"female",52.5494217682633,NA,NA,NA
"pilot_30","pilot",35,"female",45,NA,NA,NA
