"participant_id","study","age","gender","svo_angle_ring","svo_angle_slider","svo_angle_mean","condition_preference_rating"
"study1_1","study1",20,"male",38.8533743403533,34.8753283446022,36.8643513424778,"yes"
"study1_2","study1",24,"male",29.9816393688493,37.0928372970415,33.5372383329454,"no"
"study1_3","study1",29,"male",38.157226587369,37.0136158549098,37.5854212211394,"yes"
"study1_4","study1",29,"female",7.72182580013096,17.453694132294,12.5877599662125,"no"
"study1_5","study1",32,"male",-1.48425885134964e-14,7.81529354676688,3.90764677338343,"no"
"study1_6","study1",27,"female",-7.72182580013099,5.19442890773481,-1.26369844619809,"yes"
"study1_7","study1",21,"female",-14.0362434679265,19.0412307384394,2.50249363525646,"yes"
"study1_8","study1",40,"female",37.4505782317367,34.8753283446022,36.1629532881695,"yes"
"study1_9","study1",23,"male",37.4505782317367,37.4824114277185,37.4664948297276,"yes"
"study1_10","study1",20,"female",37.4505782317367,53.3658861240326,45.4082321778847,"no"
"study1_11","study1",23,"diverse",39.5226312711711,22.7094175158062,31.1160243934887,"yes"
"study1_12","study1",27,"female",16.2602047083119,15.4752550891638,15.8677298987379,"no"
"study1_13","study1",26,"male",37.6942404666892,17.981429696964,27.8378350818266,"no"
"study1_14","study1",33,"male",52.5494217682633,37.4824114277185,45.0159165979909,"no"
"study1_15","study1",23,"female",-1.48425885134964e-14,18.5116499544974,9.25582497724869,"yes"
"study1_16","study1",21,"female",-1.48425885134964e-14,7.81529354676688,3.90764677338343,"yes"
"study1_17","study1",35,"female",22.5430610000579,16.260204708312,19.4016328541849,"yes"
"study1_18","study1",35,"male",15.4221613187387,18.9432630612515,17.1827121899951,"no"
"study1_19","study1",21,"male",52.3057595333108,37.4824114277185,44.8940854805147,"yes"
"study1_20","study1",28,"male",29.7448812969422,34.8753283446022,32.3101048207722,"no"
"study1_21","study1",22,"female",52.5494217682633,45,48.7747108841316,"no"
"study1_22","study1",55,"male",45,32.1581037158278,38.5790518579139,"yes"
"study1_23","study1",31,"female",-1.48425885134964e-14,7.81529354676688,3.90764677338343,"no"
"study1_24","study1",27,"female",-18.434948822922,37.4824114277185,9.52373130239824,"yes"
"study1_25","study1",25,"female",-1.48425885134964e-14,7.81529354676688,3.90764677338343,"no"
"study1_26","study1",28,"male",-1.48425885134964e-14,7.81529354676688,3.90764677338343,"no"
