"participant_id","study","trial","search_step","search_target","search_option","chose_option","search_cost_eur"
"study1_1","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_2","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_3","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_4","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_5","study1",1,1,NA,"lower_own_payoff","higher_own_payoff",NA
"study1_6","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_7","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_8","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_9","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_10","study1",1,1,NA,"higher_own_payoff","lower_own_payoff",NA
"study1_11","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_12","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_13","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_14","study1",1,1,NA,"higher_own_payoff","lower_own_payoff",NA
"study1_15","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_16","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_17","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_18","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_19","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_20","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_21","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_22","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_23","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_24","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_25","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_26","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_27","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_28","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_29","study1",1,1,NA,"higher_own_payoff","lower_own_payoff",NA
"study1_30","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_31","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_32","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_33","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_34","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_35","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_36","study1",1,1,NA,"lower_own_payoff","higher_own_payoff",NA
"study1_37","study1",1,1,NA,"lower_own_payoff","higher_own_payoff",NA
"study1_38","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_39","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_40","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_41","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_42","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_43","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_44","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_45","study1",1,1,NA,"higher_own_payoff","lower_own_payoff",NA
"study1_46","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_47","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_48","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_49","study1",1,1,NA,"lower_own_payoff","higher_own_payoff",NA
"study1_50","study1",1,1,NA,"lower_own_payoff","higher_own_payoff",NA
"study1_51","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_52","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_53","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_54","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_55","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_56","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_57","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_58","study1",1,1,NA,"higher_own_payoff","lower_own_payoff",NA
"study1_59","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_60","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_61","study1",1,1,NA,"lower_own_payoff","higher_own_payoff",NA
"study1_62","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_63","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_64","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_65","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_66","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_67","study1",1,1,NA,"higher_own_payoff","lower_own_payoff",NA
"study1_68","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_69","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_70","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_71","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_72","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_73","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_74","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_75","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_76","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_77","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_78","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_79","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_80","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_81","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_82","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_83","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_84","study1",1,1,NA,"higher_own_payoff","lower_own_payoff",NA
"study1_85","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_86","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_87","study1",1,1,NA,"lower_own_payoff","higher_own_payoff",NA
"study1_88","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_89","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_90","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_91","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_92","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_93","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_94","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_95","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_96","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_97","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_98","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_99","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_100","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_101","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_102","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_103","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_104","study1",1,1,NA,"higher_own_payoff","lower_own_payoff",NA
"study1_105","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_106","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_107","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_108","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_109","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_110","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_111","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_112","study1",1,1,NA,"higher_own_payoff","lower_own_payoff",NA
"study1_113","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_114","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_115","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_116","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_117","study1",1,1,NA,"lower_own_payoff","higher_own_payoff",NA
"study1_118","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_119","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_120","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_121","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_122","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_123","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_124","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_125","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_126","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_127","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_128","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_129","study1",1,1,NA,"lower_own_payoff","higher_own_payoff",NA
"study1_130","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_131","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_132","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_133","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_134","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_135","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_136","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_137","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_138","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_139","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_140","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_141","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_142","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_143","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_144","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_145","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_146","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_147","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_148","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_149","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_150","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_151","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_152","study1",1,1,NA,"higher_own_payoff","lower_own_payoff",NA
"study1_153","study1",1,1,NA,"lower_own_payoff","higher_own_payoff",NA
"study1_154","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_155","study1",1,1,NA,"higher_own_payoff","lower_own_payoff",NA
"study1_156","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_157","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_158","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_159","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_160","study1",1,1,NA,"lower_own_payoff","higher_own_payoff",NA
"study1_161","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_162","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_163","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_164","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_165","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_166","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_167","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_168","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_169","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_170","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_171","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_172","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_173","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_174","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_175","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_176","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_177","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_178","study1",1,1,NA,"higher_own_payoff","lower_own_payoff",NA
"study1_179","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_180","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_181","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_182","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_183","study1",1,1,NA,"higher_own_payoff","lower_own_payoff",NA
"study1_184","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_185","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_186","study1",1,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_187","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_188","study1",1,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_1","study1",2,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_2","study1",2,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_3","study1",2,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_4","study1",2,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_5","study1",2,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_6","study1",2,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_7","study1",2,1,NA,"lower_own_payoff","higher_own_payoff",NA
"study1_8","study1",2,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_9","study1",2,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_10","study1",2,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_11","study1",2,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_12","study1",2,1,NA,"lower_own_payoff","lower_own_payoff",NA
"study1_13","study1",2,1,NA,"higher_own_payoff","higher_own_payoff",NA
"study1_14","study1",2,1,NA,"lower_own_payoff","lower_own_payoff",NA
