"participant_id","trial","study","search_step","search_target","search_option","chose_option","total_reveals_in_trial","search_cost_eur"
"study2_1",1,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_1",2,"study2",1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_1",2,"study2",2,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_1",3,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_1",4,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_1",5,"study2",1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_1",6,"study2",1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_1",7,"study2",1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_1",8,"study2",1,"self","lower_own_payoff","lower_own_payoff",2,10
"study2_1",8,"study2",2,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_1",9,"study2",1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_1",10,"study2",1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_1",10,"study2",2,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_1",11,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_1",12,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_1",13,"study2",1,"self","lower_own_payoff","lower_own_payoff",2,10
"study2_1",13,"study2",2,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_1",14,"study2",1,"self","higher_own_payoff","lower_own_payoff",1,0
"study2_1",15,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_1",16,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_1",17,"study2",1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_1",18,"study2",1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_1",18,"study2",2,"self","lower_own_payoff","lower_own_payoff",2,10
"study2_1",19,"study2",1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_1",19,"study2",2,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_1",20,"study2",1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_1",20,"study2",2,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_1",21,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_1",22,"study2",1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_1",23,"study2",1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_1",24,"study2",1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_100",1,"study2",1,"self","lower_own_payoff","lower_own_payoff",2,10
"study2_100",1,"study2",2,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_100",2,"study2",1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_100",2,"study2",2,"self","lower_own_payoff","lower_own_payoff",2,10
"study2_100",3,"study2",1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_100",4,"study2",1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_100",4,"study2",2,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_100",5,"study2",1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_100",5,"study2",2,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_100",6,"study2",1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_100",7,"study2",1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_100",7,"study2",2,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_100",8,"study2",1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_100",8,"study2",2,"self","lower_own_payoff","lower_own_payoff",2,10
"study2_100",9,"study2",1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_100",9,"study2",2,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_100",10,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_100",11,"study2",1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_100",12,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_100",13,"study2",1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_100",14,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_100",15,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_100",16,"study2",1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_100",16,"study2",2,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_100",17,"study2",1,"self","lower_own_payoff","lower_own_payoff",2,10
"study2_100",17,"study2",2,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_100",18,"study2",1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_100",19,"study2",1,"self","lower_own_payoff","lower_own_payoff",2,10
"study2_100",19,"study2",2,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_100",20,"study2",1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_100",20,"study2",2,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_100",21,"study2",1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_100",22,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_100",23,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_100",24,"study2",1,"self","lower_own_payoff","lower_own_payoff",2,10
"study2_100",24,"study2",2,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_101",1,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_101",2,"study2",1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_101",3,"study2",1,"self","higher_own_payoff","lower_own_payoff",1,0
"study2_101",4,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_101",5,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_101",6,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_101",7,"study2",1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_101",8,"study2",1,"other","higher_own_payoff","higher_own_payoff",1,0
"study2_101",9,"study2",1,"other","lower_own_payoff","higher_own_payoff",1,0
"study2_101",10,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_101",11,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_101",12,"study2",1,"self","higher_own_payoff","lower_own_payoff",1,0
"study2_101",13,"study2",1,"self","higher_own_payoff","lower_own_payoff",1,0
"study2_101",14,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_101",15,"study2",1,"other","lower_own_payoff","higher_own_payoff",1,0
"study2_101",16,"study2",1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_101",17,"study2",1,"other","higher_own_payoff","higher_own_payoff",1,0
"study2_101",18,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_101",19,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_101",20,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_101",21,"study2",1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_101",22,"study2",1,"other","lower_own_payoff","higher_own_payoff",1,0
"study2_101",23,"study2",1,"other","lower_own_payoff","higher_own_payoff",1,0
"study2_101",24,"study2",1,"other","higher_own_payoff","higher_own_payoff",1,0
"study2_102",1,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",2,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",3,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",4,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",5,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",6,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",7,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",8,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",9,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",10,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",11,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",12,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",13,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",14,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",15,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",16,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",17,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",18,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",19,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",20,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",21,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",22,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",23,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_102",24,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_104",1,"study2",1,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_104",1,"study2",2,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_104",1,"study2",3,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_104",1,"study2",4,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_104",2,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_104",3,"study2",1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_104",3,"study2",2,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_104",4,"study2",1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_104",4,"study2",2,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_104",4,"study2",3,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_104",4,"study2",4,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_104",5,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_104",6,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_104",7,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_104",8,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_104",9,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_104",10,"study2",1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_104",10,"study2",2,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_104",11,"study2",1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_104",11,"study2",2,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_104",11,"study2",3,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_104",11,"study2",4,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_104",12,"study2",1,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_104",12,"study2",2,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_104",12,"study2",3,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_104",12,"study2",4,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_104",13,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_104",14,"study2",1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_104",14,"study2",2,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_104",14,"study2",3,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_104",14,"study2",4,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_104",15,"study2",1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_104",15,"study2",2,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_104",15,"study2",3,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_104",15,"study2",4,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_104",16,"study2",1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_104",16,"study2",2,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_104",16,"study2",3,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_104",16,"study2",4,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_104",17,"study2",1,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_104",17,"study2",2,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_104",17,"study2",3,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_104",17,"study2",4,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_104",18,"study2",1,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_104",18,"study2",2,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_104",18,"study2",3,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_104",18,"study2",4,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_104",19,"study2",1,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_104",19,"study2",2,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_104",19,"study2",3,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_104",19,"study2",4,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_104",20,"study2",1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_104",20,"study2",2,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_104",20,"study2",3,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_104",20,"study2",4,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_104",21,"study2",1,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_104",21,"study2",2,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_104",21,"study2",3,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_104",21,"study2",4,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_104",22,"study2",1,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_104",22,"study2",2,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_104",22,"study2",3,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_104",22,"study2",4,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_104",23,"study2",1,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_104",23,"study2",2,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_104",23,"study2",3,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_104",23,"study2",4,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_104",24,"study2",1,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_104",24,"study2",2,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_104",24,"study2",3,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_104",24,"study2",4,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",1,"study2",1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_105",1,"study2",2,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_105",1,"study2",3,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_105",1,"study2",4,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_105",2,"study2",1,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",2,"study2",2,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",2,"study2",3,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",2,"study2",4,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",3,"study2",1,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",3,"study2",2,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",3,"study2",3,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",3,"study2",4,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",4,"study2",1,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",4,"study2",2,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",4,"study2",3,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",4,"study2",4,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",5,"study2",1,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",5,"study2",2,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",5,"study2",3,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",5,"study2",4,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",6,"study2",1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_105",6,"study2",2,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_105",6,"study2",3,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_105",6,"study2",4,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_105",7,"study2",1,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_105",7,"study2",2,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_105",7,"study2",3,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_105",7,"study2",4,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_105",8,"study2",1,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",8,"study2",2,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",8,"study2",3,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",8,"study2",4,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",9,"study2",1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_105",9,"study2",2,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_105",9,"study2",3,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_105",9,"study2",4,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_105",10,"study2",1,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",10,"study2",2,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",10,"study2",3,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",10,"study2",4,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",11,"study2",1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_105",11,"study2",2,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_105",11,"study2",3,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_105",11,"study2",4,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_105",12,"study2",1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_105",12,"study2",2,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_105",12,"study2",3,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_105",12,"study2",4,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_105",13,"study2",1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_105",13,"study2",2,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_105",13,"study2",3,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_105",13,"study2",4,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_105",14,"study2",1,"other","higher_own_payoff","higher_own_payoff",3,20
"study2_105",14,"study2",2,"self","higher_own_payoff","higher_own_payoff",3,20
"study2_105",14,"study2",3,"self","higher_own_payoff","higher_own_payoff",3,20
"study2_105",15,"study2",1,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_105",15,"study2",2,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_105",15,"study2",3,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_105",15,"study2",4,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_105",16,"study2",1,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",16,"study2",2,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",16,"study2",3,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",16,"study2",4,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",17,"study2",1,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",17,"study2",2,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",17,"study2",3,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",17,"study2",4,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",18,"study2",1,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",18,"study2",2,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",18,"study2",3,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",18,"study2",4,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",19,"study2",1,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",19,"study2",2,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",19,"study2",3,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",19,"study2",4,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",20,"study2",1,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",20,"study2",2,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",20,"study2",3,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",20,"study2",4,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",21,"study2",1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_105",21,"study2",2,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_105",21,"study2",3,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_105",21,"study2",4,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_105",22,"study2",1,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_105",22,"study2",2,"self","higher_own_payoff","lower_own_payoff",4,30
"study2_105",22,"study2",3,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_105",22,"study2",4,"self","lower_own_payoff","lower_own_payoff",4,30
"study2_105",23,"study2",1,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",23,"study2",2,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",23,"study2",3,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",23,"study2",4,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",24,"study2",1,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",24,"study2",2,"self","lower_own_payoff","higher_own_payoff",4,30
"study2_105",24,"study2",3,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_105",24,"study2",4,"self","higher_own_payoff","higher_own_payoff",4,30
"study2_107",1,"study2",1,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_107",1,"study2",2,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_107",2,"study2",1,"self","lower_own_payoff","higher_own_payoff",2,10
"study2_107",2,"study2",2,"self","higher_own_payoff","higher_own_payoff",2,10
"study2_107",3,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_107",4,"study2",1,"self","higher_own_payoff","lower_own_payoff",2,10
"study2_107",4,"study2",2,"self","lower_own_payoff","lower_own_payoff",2,10
"study2_107",5,"study2",1,"self","higher_own_payoff","higher_own_payoff",1,0
"study2_107",6,"study2",1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_107",7,"study2",1,"self","lower_own_payoff","lower_own_payoff",1,0
"study2_107",8,"study2",1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_107",9,"study2",1,"self","lower_own_payoff","higher_own_payoff",1,0
"study2_107",10,"study2",1,"self","lower_own_payoff","lower_own_payoff",2,10
"study2_107",10,"study2",2,"self","higher_own_payoff","lower_own_payoff",2,10
